date,open,high,low,close,volume
16/09/86,0.5916,0.6273,0.5804,0.6229,61600000
17/09/86,0.6229,0.625,0.6116,0.6116,29215200
18/09/86,0.6116,0.6161,0.6027,0.6071,24757600
19/09/86,0.6027,0.605,0.5938,0.6005,31903200
22/09/86,0.5982,0.6318,0.5982,0.6295,59920000
23/09/86,0.6295,0.6473,0.6273,0.6452,84560000
24/09/86,0.6452,0.6496,0.6071,0.6273,44217600
25/09/86,0.6273,0.6295,0.6005,0.6161,46950400
26/09/86,0.6095,0.6139,0.605,0.6116,17505600
29/09/86,0.6005,0.605,0.5646,0.5804,52236800
30/09/86,0.5871,0.605,0.5827,0.5982,45197600
01/10/86,0.5961,0.6161,0.5961,0.6095,34647200
02/10/86,0.6027,0.6139,0.5982,0.6095,23704800
03/10/86,0.6139,0.6205,0.5961,0.6027,34686400
06/10/86,0.6027,0.6116,0.6005,0.6095,23626400
07/10/86,0.6071,0.6095,0.5871,0.5893,31998400
08/10/86,0.5871,0.5893,0.5759,0.5848,27893600
09/10/86,0.5848,0.5938,0.5827,0.5893,19488000
10/10/86,0.5871,0.5961,0.5782,0.5938,14632800
13/10/86,0.5916,0.6184,0.5893,0.6184,24920000
14/10/86,0.6184,0.6295,0.6027,0.6071,49834400
15/10/86,0.5982,0.5982,0.5848,0.5961,51352000
16/10/86,0.5961,0.605,0.5938,0.6005,33941600
17/10/86,0.6027,0.6071,0.5961,0.6005,37968000
20/10/86,0.5982,0.6005,0.5871,0.5871,37245600
21/10/86,0.5893,0.5893,0.5827,0.5848,28431200
22/10/86,0.5848,0.5871,0.5759,0.5804,23620800
23/10/86,0.5804,0.5916,0.5804,0.5916,30783200
24/10/86,0.5916,0.5938,0.5848,0.5893,18832800
27/10/86,0.5982,0.6071,0.5938,0.6071,37800000
28/10/86,0.6071,0.6095,0.5893,0.5961,35560000
29/10/86,0.5982,0.5982,0.5916,0.5961,21358400
30/10/86,0.5982,0.6205,0.5961,0.6116,73360000
31/10/86,0.6116,0.6229,0.6116,0.6184,30324000
03/11/86,0.6205,0.6273,0.6184,0.625,37956800
04/11/86,0.6229,0.6407,0.605,0.6384,61600000
